position,age,market_value,country_from,club_from,country_to,club_to,fee
Attacking Midfield,23,2,Portugal,SL Benfica,United States,Charlotte FC,1
Right-Back,31,2,England,Watford FC,Spain,Villarreal CF,0.98
Central Midfield,29,2,United States,New England Revolution,United States,FC Dallas,0.546
Attacking Midfield,24,2,England,Birmingham City,Spain,Sporting Gijón,0.5
Attacking Midfield,27,2,Germany,VfB Stuttgart,Germany,VfL Bochum,0.5
Left-Back,24,2,Spain,CD Leganés,Spain,Girona FC,0.5
Central Midfield,21,2,Turkey,Fenerbahce SK,Belgium,KVC Westerlo,0.5
Centre-Forward,24,2,Belgium,KV Oostende,Spain,Real Zaragoza,0.3
Attacking Midfield,24,2,Spain,Sporting Gijón,Spain,Málaga CF,0.15
Central Midfield,23,2,Italy,US Salernitana 1919,Italy,Ternana Calcio,0.1
Central Midfield,22,2,Germany,FC St. Pauli,Germany,TSG 1899 Hoffenheim,free transfer
Defensive Midfield,32,2,France,Stade Rennais FC,France,LOSC Lille,free transfer
Central Midfield,24,2,Switzerland,FC Lugano,Italy,Udinese Calcio,free transfer
Centre-Back,20,2,Austria,Rapid Vienna,Germany,FC Schalke 04,free transfer
Central Midfield,28,2,Germany,Arminia Bielefeld,Canada,Vancouver Whitecaps FC,free transfer
Left Winger,31,2,Spain,Valencia CF,Italy,Venezia FC,free transfer
Centre-Back,29,2,Russia,CSKA Moscow,Greece,Panathinaikos Athens,free transfer
Right Winger,32,2,England,West Ham United,United Arab Emirates,Al-Ain FC,free transfer
Centre-Back,28,2,England,Fulham FC,England,Wycombe Wanderers,free transfer
Central Midfield,29,2,Russia,Zenit St. Petersburg,Turkey,Fatih Karagümrük,free transfer
Left-Back,28,2,Spain,RCD Mallorca,Spain,RCD Espanyol Barcelona,free transfer
Right Midfield,25,2,France,Angers SCO,France,Stade Brestois 29,free transfer
Right-Back,24,2,France,AC Ajaccio,France,FC Lorient,free transfer
Defensive Midfield,24,2,Mexico,FC Juárez,Mexico,Club Necaxa,free transfer
Central Midfield,29,2,Italy,Hellas Verona,United Arab Emirates,Al-Ittihad Kalba SC,free transfer
Right-Back,30,2,Spain,Villarreal CF,Spain,CA Osasuna,free transfer
Right-Back,22,2,Mexico,Club Necaxa,Mexico,Atlas Guadalajara,?
Left-Back,29,2,France,Clermont Foot 63,France,FC Girondins Bordeaux,free transfer
Central Midfield,21,2,Portugal,SL Benfica,Greece,PAOK Thessaloniki,loan transfer
Left Winger,28,2,United States,D.C. United,Mexico,Atlas Guadalajara,?
Central Midfield,25,2,England,Reading FC,Wales,Cardiff City,free transfer
Left Winger,26,2,Brazil,Sport Club Internacional,Brazil,São Paulo Futebol Clube,free transfer
Right-Back,22,2,Spain,RCD Espanyol Barcelona,Portugal,SC Braga,loan transfer
Centre-Forward,33,2,Belgium,Club Brugge KV,Netherlands,FC Utrecht,free transfer
Goalkeeper,31,2,Spain,Levante UD,Spain,CA Osasuna,free transfer
Right-Back,24,2,England,Blackburn Rovers,England,Wigan Athletic,free transfer
Central Midfield,20,2,England,Manchester City U21,England,Sheffield United,loan transfer
Centre-Forward,26,2,Mexico,Club Tijuana,Mexico,Atlas Guadalajara,?
Centre-Back,25,2,France,Stade Rennais FC,France,Amiens SC,free transfer
Left Winger,25,2,Spain,Athletic Bilbao,Netherlands,Fortuna Sittard,free transfer
Right-Back,23,2,Mexico,Club Tijuana,Mexico,Tigres UANL,?
Centre-Back,21,2,England,Nottingham Forest,England,Coventry City,loan transfer
Central Midfield,23,2,United States,Los Angeles FC,Uruguay,Club Nacional,loan transfer
Right-Back,26,2,Spain,Deportivo Alavés,Portugal,FC Famalicão,free transfer
Attacking Midfield,27,2,Mexico,Deportivo Guadalajara,Mexico,CF Pachuca,?
Centre-Back,23,2,France,FC Lorient,Scotland,Celtic FC,loan transfer
Central Midfield,22,2,England,Leeds United,England,Millwall FC,loan transfer
Centre-Back,32,2,England,Burnley FC,England,Brentford FC,free transfer
Left Winger,27,2,Egypt,Zamalek SC,United Arab Emirates,Al-Jazira (Abu Dhabi),free transfer
Defensive Midfield,21,2,Brazil,Sport Club Internacional,Brazil,Coritiba Foot Ball Club,loan transfer
Centre-Back,29,2,Belgium,Royal Antwerp FC,Belgium,KV Kortrijk,loan transfer
Right Winger,22,2,Spain,Real Betis Balompié,Portugal,SC Braga,loan transfer
Central Midfield,35,2,Monaco,AS Monaco,Italy,Como 1907,free transfer
Centre-Back,32,2,France,Olympique Marseille,Saudi Arabia,Al-Nassr Riad,free transfer
Centre-Forward,20,2,Brazil,Sociedade Esportiva Palmeiras,Portugal,CD Santa Clara,loan transfer
Defensive Midfield,25,2,Mexico,Club León FC,Portugal,FC Famalicão,loan transfer
Right-Back,21,2,England,Brighton & Hove Albion,Germany,Fortuna Düsseldorf,loan transfer
Centre-Forward,31,2,Brazil,Sociedade Esportiva Palmeiras,Brazil,Cuiabá Esporte Clube (MT),free transfer
Centre-Back,25,2,Mexico,CF América,Mexico,Mazatlán FC,loan transfer
Left-Back,29,2,Ukraine,Dynamo Kyiv,Brazil,Cuiabá Esporte Clube (MT),free transfer
Right-Back,27,2,England,Nottingham Forest,Canada,Toronto FC,loan transfer
Right Winger,22,2,United States,FC Cincinnati,Turkey,Göztepe,loan transfer
Right Winger,29,2,Saudi Arabia,Al-Faisaly FC,Scotland,Hibernian FC,?
Central Midfield,29,2,Italy,SS Lazio,Italy,US Cremonese,loan transfer
Defensive Midfield,24,2,Brazil,Grêmio Foot-Ball Porto Alegrense,Brazil,Associação Chapecoense de Futebol,loan transfer
Centre-Back,28,2,Germany,1.FC Union Berlin,Germany,VfL Bochum,loan transfer
Left Winger,19,2,Spain,Athletic Bilbao,Spain,CD Mirandés,loan transfer
Right Midfield,35,2,Italy,UC Sampdoria,Italy,US Salernitana 1919,loan transfer
Centre-Forward,24,2,England,Aston Villa,England,Watford FC,loan transfer
Left-Back,24,2,Austria,Red Bull Salzburg,France,AJ Auxerre,?
Right Winger,29,2,England,Nottingham Forest,Australia,Sydney FC,?
Central Midfield,27,2,Italy,Parma Calcio 1913,Italy,FC Empoli,loan transfer
Defensive Midfield,28,2,England,Birmingham City,England,Hull City,?
Attacking Midfield,21,2,France,Stade Rennais FC,Belgium,Cercle Brugge ,free transfer
Centre-Forward,24,2,Spain,Levante UD,Spain,RCD Espanyol Barcelona,loan transfer
Attacking Midfield,25,2,Greece,Olympiacos Piraeus,Portugal,GD Estoril Praia,loan transfer
Centre-Forward,25,2,Brazil,Club Athletico Paranaense,Portugal,CD Santa Clara,loan transfer
Centre-Back,32,2,England,Watford FC,Greece,Aris Thessaloniki,free transfer
Centre-Back,32,2,Portugal,Sporting CP,Spain,Real Valladolid CF,free transfer
Left Winger,26,2,Spain,UD Almería,Spain,RCD Espanyol Barcelona,?
Centre-Back,19,2,United States,Los Angeles FC,Spain,Villarreal CF B,loan transfer
Left-Back,20,2,Germany,TSG 1899 Hoffenheim,Germany,SpVgg Greuther Fürth,loan transfer
Left-Back,24,2,Germany,Hertha BSC,Netherlands,Feyenoord Rotterdam,loan transfer
Defensive Midfield,29,2,Spain,Deportivo Alavés,Cyprus,AEK Larnaca,free transfer
Centre-Forward,27,2,Italy,Hellas Verona,Cyprus,Aris Limassol,loan transfer
Centre-Forward,25,2,Scotland,Celtic FC,Austria,SK Sturm Graz,loan transfer
Defensive Midfield,23,2,Brazil,Red Bull Bragantino,Denmark,FC Midtjylland,loan transfer
Right-Back,23,2,England,Southampton FC,France,Angers SCO,?
Left Winger,27,2,Spain,Real Valladolid CF,Spain,Girona FC,free transfer
Centre-Forward,22,1,Greece,PAS Giannina,Germany,VfB Stuttgart,2
Centre-Back,21,0.05,Brazil,Avaí Futebol Clube (SC),Portugal,Académico Viseu FC,2
Centre-Forward,24,2,Uruguay,Montevideo City Torque,Argentina,CA Huracán,0.465
Central Midfield,23,2,Italy,Atalanta BC,Italy,AC Monza,?
Centre-Forward,26,2,Italy,UC Sampdoria,Italy,Benevento Calcio,loan transfer
Central Midfield,26,2,Italy,AC Monza,Italy,Frosinone Calcio,loan transfer
Left-Back,24,1,Netherlands,PEC Zwolle,Netherlands,AZ Alkmaar,2
Centre-Back,22,2,England,Arsenal FC U21,England,Sunderland AFC,2
Right Winger,23,2,England,Blackpool FC,England,Nottingham Forest,2
Centre-Back,21,2,Germany,1.FSV Mainz 05,Germany,FC St. Pauli,1
Right-Back,28,2,Germany,Eintracht Frankfurt,Germany,1.FSV Mainz 05,free transfer
Left-Back,27,2,Turkey,Fatih Karagümrük,Turkey,Alanyaspor,free transfer
Defensive Midfield,28,2,Mexico,Puebla FC,Mexico,FC Juárez,?
Right Winger,28,2,Argentina,Club Estudiantes de La Plata,Ecuador,LDU Quito,?
Centre-Forward,25,2,Turkey,Yeni Malatyaspor,England,Hull City,free transfer
Centre-Forward,23,2,England,Brighton & Hove Albion,Switzerland,FC Basel 1893,loan transfer
Right-Back,24,2,Italy,AC Monza,Turkey,Alanyaspor,loan transfer
Centre-Forward,24,2,Switzerland,BSC Young Boys,Germany,Hertha BSC,4
Defensive Midfield,29,2,Italy,Parma Calcio 1913,United States,Los Angeles Galaxy,2
Centre-Back,25,2,Italy,AC Milan,Turkey,Istanbul Basaksehir FK,2
Centre-Forward,29,2,Bulgaria,Ludogorets Razgrad,Japan,Sanfrecce Hiroshima,2
Centre-Forward,31,2,Germany,VfL Bochum,Germany,FC Schalke 04,1
Centre-Forward,31,2,Netherlands,Feyenoord Rotterdam,Japan,Urawa Red Diamonds,1
Left Winger,27,2,Belgium,SV Zulte Waregem,Germany,Hamburger SV,1
Centre-Back,20,2,Italy,Inter Milan,Italy,US Salernitana 1919,0.9
Central Midfield,25,2,Belgium,Standard Liège,England,Burnley FC,0.8
Central Midfield,24,2,Russia,CSKA Moscow,Italy,US Lecce,0.3
Central Midfield,27,2,Germany,SpVgg Greuther Fürth,Germany,1.FC Union Berlin,free transfer
Attacking Midfield,25,2,Germany,VfL Bochum,Germany,1.FC Union Berlin,free transfer
Central Midfield,27,2,England,Reading FC,England,Stoke City,free transfer
Goalkeeper,24,2,Germany,RB Leipzig,Italy,Genoa CFC,loan transfer
Left-Back,28,2,Italy,Cagliari Calcio,Italy,Bologna FC 1909,free transfer
Centre-Back,20,2,Italy,Juventus Next Gen,Italy,FC Empoli,loan transfer
Left Winger,21,2,Spain,Deportivo Alavés,Turkey,Giresunspor,?
Left-Back,21,2,Brazil,Sport Club Internacional,Brazil,Club de Regatas Vasco da Gama,loan transfer
Goalkeeper,22,2,England,Brighton & Hove Albion,Netherlands,Vitesse Arnhem,loan transfer
Central Midfield,22,2,England,Watford FC,Spain,Elche CF,loan transfer
Defensive Midfield,27,2,Italy,FC Empoli,Italy,Palermo FC,loan transfer
Centre-Forward,30,2,Germany,Hertha BSC,Qatar,Al-Gharafa SC,free transfer
Left-Back,21,2,England,Everton FC,Wales,Cardiff City,loan transfer
Centre-Forward,24,2,Spain,RCD Espanyol Barcelona,Netherlands,NEC Nijmegen,loan transfer
Left-Back,28,2,England,Chelsea FC,England,Reading FC,loan transfer
Left-Back,23,2,Italy,Juventus Next Gen,Italy,Pisa Sporting Club,2
Central Midfield,24,2,Argentina,CA Newell's Old Boys,Poland,Miedz Legnica,loan transfer
Central Midfield,24,2,Italy,SS Lazio,Belgium,Oud-Heverlee Leuven,?
Centre-Forward,24,2,Bulgaria,CSKA-Sofia,Mexico,Tigres UANL,2
Attacking Midfield,23,2,Argentina,AA Argentinos Juniors,Russia,FK Orenburg,2
Centre-Back,19,2,France,Paris FC,France,Angers SCO,2
Attacking Midfield,18,1,Turkey,Kayserispor,Spain,FC Barcelona Atlètic,2
Left Winger,23,2,Netherlands,Heracles Almelo,Germany,1.FSV Mainz 05,2
Left Winger,20,1,Italy,AS Roma,Italy,US Sassuolo,2
Centre-Forward,21,2,Germany,SpVgg Greuther Fürth,Germany,Hertha BSC,2
Goalkeeper,22,2,France,Paris Saint-Germain,France,OGC Nice,2
Left-Back,20,0.45,Portugal,SC Braga B,Italy,Udinese Calcio,2
Centre-Back,21,0.8,Bulgaria,CSKA-Sofia,Italy,AC Monza,2
Left Midfield,25,1,Uruguay,Club Plaza Colonia,Mexico,Atlético de San Luis,2
Central Midfield,18,0.35,Denmark,FC Midtjylland,Germany,Borussia Mönchengladbach,2
Right Winger,22,2,Netherlands,AZ Alkmaar,France,FC Toulouse,2
Goalkeeper,22,1,Croatia,HNK Gorica,Greece,PAOK Thessaloniki,2
Centre-Back,24,1,Netherlands,RKC Waalwijk,Turkey,Istanbul Basaksehir FK,2
Right Winger,24,1,Turkey,Fatih Karagümrük,Turkey,Fenerbahce SK,2
Centre-Back,22,0.8,Portugal,GD Chaves,France,LOSC Lille,2
Attacking Midfield,25,2,Belgium,RSC Anderlecht,Netherlands,Twente Enschede FC,2
Central Midfield,24,0.85,Netherlands,Heracles Almelo,Spain,Celta de Vigo,2
Centre-Forward,27,1,Italy,Juventus Next Gen,Italy,Palermo FC,2
Centre-Back,21,0.525,Turkey,Istanbulspor,Turkey,Besiktas JK,2
Centre-Back,18,0.1,Switzerland,Servette FC,France,Olympique de Marseille B,2
Centre-Forward,28,1,Norway,Viking Stavanger,Sweden,Hammarby IF,2
Left-Back,22,0.8,Netherlands,Heracles Almelo,Italy,US Cremonese,2
Left-Back,20,1,Israel,Hapoel Tel Aviv,Greece,Olympiacos Piraeus,2
Defensive Midfield,18,2,Czech Republic,SK Slavia Prague,Italy,US Lecce,2
Centre-Forward,21,0.7,Norway,FK Bodø/Glimt,Belgium,Royale Union Saint Gilloise,2
Right Winger,21,0.3,Israel,Maccabi Petah Tikva,Italy,US Lecce,2
Right Winger,26,1,Hungary,Ferencvárosi TC,Ukraine,Shakhtar Donetsk,2
Centre-Forward,18,0.5,Italy,LR Vicenza,Italy,Juventus Primavera,2
Centre-Back,27,1,Portugal,Portimonense SC,Russia,CSKA Moscow,2
Right Winger,23,2,Uruguay,Club Nacional,Spain,Cádiz CF,1
Centre-Forward,25,2,Scotland,Rangers FC,Switzerland,BSC Young Boys,1
Defensive Midfield,25,2,United States,Los Angeles Galaxy,France,AJ Auxerre,1
Centre-Forward,21,2,Germany,Hertha BSC,Germany,SpVgg Greuther Fürth,1
Centre-Forward,18,2,Sweden,IFK Göteborg,Germany,SV Darmstadt 98,1
Right Winger,27,2,Germany,Fortuna Düsseldorf,Greece,PAOK Thessaloniki,1
Right-Back,23,2,Denmark,Bröndby IF,France,ESTAC Troyes,1
Defensive Midfield,27,2,France,Paris FC,Cyprus,Pafos FC,1
Centre-Forward,28,2,Serbia,Red Star Belgrade,Denmark,Bröndby IF,1
Centre-Back,23,2,Austria,LASK,Germany,Arminia Bielefeld,1
Defensive Midfield,22,2,Turkey,Kasimpasa,Turkey,Trabzonspor,1
Central Midfield,22,2,Poland,Górnik Zabrze,Italy,Benevento Calcio,1
Centre-Back,26,2,Serbia,Red Star Belgrade,Spain,UD Almería,1
Right-Back,24,2,England,Huddersfield Town,Greece,Olympiacos Piraeus,1
Central Midfield,25,2,Germany,Hertha BSC,United States,St. Louis CITY SC,1
Left Winger,26,2,Italy,US Lecce,Italy,Palermo FC,1
Centre-Forward,28,2,Serbia,Red Star Belgrade,Saudi Arabia,Al-Fayha FC,1
Attacking Midfield,25,2,Croatia,GNK Dinamo Zagreb,Hungary,Ferencvárosi TC,1
Left-Back,23,2,Portugal,Boavista FC,Ukraine,SK Dnipro-1,1
Centre-Forward,27,2,United States,Philadelphia Union,United States,FC Cincinnati,0.841
Central Midfield,19,2,Italy,AS Roma,Italy,US Cremonese,0.75
Right Winger,30,2,Germany,VfL Wolfsburg,Switzerland,FC Lugano,0.75
Defensive Midfield,25,2,Turkey,Giresunspor,Serbia,FK Partizan Belgrade,0.7
Right-Back,18,2,France,FC Metz,Germany,Hamburger SV,0.7
Central Midfield,22,2,Germany,1.FC Nuremberg,Greece,Panathinaikos Athens,0.65
Attacking Midfield,23,2,Japan,Tokyo Verdy,Portugal,Gil Vicente FC,0.6
Left Winger,28,2,Italy,SPAL,Italy,US Lecce,0.5
Goalkeeper,24,2,Turkey,Göztepe,Turkey,Fenerbahce SK,0.5
Centre-Back,21,2,France,Olympique Lyon,Spain,Valencia CF,0.5
Centre-Forward,23,2,Denmark,FC Midtjylland,Brazil,Fluminense Football Club,0.4
Centre-Forward,32,2,Greece,Panathinaikos Athens,Poland,Legia Warszawa,0.4
Left Winger,22,2,Canada,Toronto FC,United States,Nashville SC,0.205
Central Midfield,26,2,Turkey,Trabzonspor,Saudi Arabia,Al-Taawoun FC,0.196
Goalkeeper,28,2,France,FC Lorient,Belgium,KAA Gent,0.15
Goalkeeper,23,2,Portugal,Vitória Guimarães SC,Portugal,CS Marítimo,0.05
Goalkeeper,21,2,France,AC Le Havre,France,Angers SCO,free transfer
Right-Back,31,2,Italy,Udinese Calcio,Turkey,Trabzonspor,free transfer
Centre-Forward,29,2,Germany,Karlsruher SC,Germany,VfL Bochum,free transfer
Left Winger,29,2,England,Birmingham City,France,Clermont Foot 63,free transfer
Centre-Back,29,2,Hungary,Ferencvárosi TC,France,Angers SCO,free transfer
Left-Back,30,2,France,FC Metz,France,RC Strasbourg Alsace,free transfer
Centre-Back,22,2,Italy,Atalanta BC,Italy,AC Monza,?
Defensive Midfield,28,2,Mexico,Club Necaxa,Mexico,Deportivo Guadalajara,?
Central Midfield,28,2,Croatia,HNK Rijeka,Turkey,Konyaspor,free transfer
Attacking Midfield,29,2,Argentina,Club Atlético Independiente,Argentina,AA Argentinos Juniors,free transfer
Left-Back,27,2,Portugal,Vitória Guimarães SC,Greece,PAOK Thessaloniki,free transfer
Goalkeeper,34,2,England,Southampton FC,England,Tottenham Hotspur,free transfer
Left Winger,25,2,England,Liverpool FC,Wales,Cardiff City,free transfer
Centre-Forward,31,2,England,Everton FC,Turkey,Besiktas JK,free transfer
Right-Back,26,2,England,Millwall FC,Wales,Cardiff City,free transfer
Centre-Back,24,2,England,Chelsea FC,England,Queens Park Rangers,free transfer
Centre-Forward,28,2,Germany,VfL Bochum,Iran,Persepolis FC,free transfer
Centre-Back,29,2,,Without Club,Brazil,Clube Atlético Mineiro,free transfer
Centre-Forward,27,2,England,Barnsley FC,England,Luton Town,?
Defensive Midfield,28,2,Wales,Cardiff City,England,Sheffield Wednesday,free transfer
Attacking Midfield,28,2,Luxembourg,FC Progrès Niederkorn,Germany,FC Hansa Rostock,?
Defensive Midfield,27,2,China,Shenzhen FC,Switzerland,FC Zürich,free transfer
Attacking Midfield,25,2,Argentina,CD Godoy Cruz Antonio Tomba,Mexico,Santos Laguna,loan transfer
Centre-Forward,21,2,Switzerland,FC Lausanne-Sport,Switzerland,FC Basel 1893,loan transfer
Left-Back,23,2,Italy,Juventus FC,Italy,US Lecce,loan transfer
Attacking Midfield,29,2,Portugal,FC Famalicão,Qatar,Umm Salal SC,free transfer
Attacking Midfield,22,2,Spain,Real Sociedad,Spain,CD Mirandés,loan transfer
Centre-Forward,29,2,England,Stoke City,England,Millwall FC,?
Central Midfield,28,2,Italy,SPAL,Italy,AC Monza,?
Centre-Forward,32,2,Brazil,Sport Club Internacional,Brazil,Fortaleza Esporte Clube,loan transfer
Right Winger,31,2,Spain,Cádiz CF,Spain,Rayo Vallecano,free transfer
Goalkeeper,22,2,Portugal,SL Benfica,Italy,AS Roma,free transfer
Goalkeeper,32,2,England,Aston Villa,Croatia,HNK Hajduk Split,free transfer
Centre-Forward,31,2,England,Watford FC,Greece,Aris Thessaloniki,free transfer
Left-Back,25,2,Spain,Villarreal CF,Portugal,CD Santa Clara,free transfer
Centre-Back,32,2,Brazil,Goiás Esporte Clube,Spain,UD Las Palmas,free transfer
Right Winger,22,2,Portugal,Sporting CP,Greece,Aris Thessaloniki,loan transfer
Centre-Back,27,2,Italy,SPAL,Italy,SSC Bari,?
Central Midfield,35,2,Italy,Inter Milan,Brazil,Clube de Regatas do Flamengo,free transfer
Attacking Midfield,30,2,United Arab Emirates,Al-Ittihad Kalba SC,Austria,LASK,free transfer
Centre-Back,23,2,England,Arsenal FC,England,Birmingham City,loan transfer
Right Midfield,25,2,Italy,Genoa CFC,Italy,US Cremonese,?
Centre-Forward,28,2,Mexico,Club León FC,Mexico,Deportivo Guadalajara,loan transfer
Right Winger,19,2,England,Manchester City U21,Uruguay,Montevideo City Torque,loan transfer
Left-Back,30,2,Spain,Levante UD,Spain,Elche CF,free transfer
Left Winger,21,2,Germany,VfB Stuttgart,Portugal,Académico Viseu FC,loan transfer
Central Midfield,22,2,England,Southampton FC,England,Stoke City,loan transfer
Goalkeeper,25,2,Brazil,Sport Club do Recife,Saudi Arabia,Al-Taawoun FC,free transfer
Left Winger,28,2,United States,Real Salt Lake City,Argentina,CA Vélez Sarsfield,loan transfer
Centre-Forward,21,2,Italy,Inter Milan,Italy,Frosinone Calcio,loan transfer
Left-Back,19,2,England,Manchester United,England,Preston North End,loan transfer
Central Midfield,27,2,Turkey,Trabzonspor,Turkey,Gaziantep FK,loan transfer
Centre-Back,20,2,Brazil,Clube de Regatas do Flamengo,Brazil,Esporte Clube Bahia,loan transfer
Centre-Back,20,2,Portugal,SL Benfica B,Portugal,Gil Vicente FC,loan transfer
Centre-Back,25,2,Italy,Pisa Sporting Club,Italy,UC Sampdoria,loan transfer
Centre-Forward,23,2,Italy,US Salernitana 1919,Brazil,Sport Club Internacional,loan transfer
Centre-Forward,29,2,Saudi Arabia,Al-Batin FC,United Arab Emirates,Khor Fakkan,?
Defensive Midfield,34,2,Spain,Villarreal CF,Spain,Levante UD,loan transfer
Centre-Back,31,2,Spain,Deportivo Alavés,Spain,Rayo Vallecano,loan transfer
Attacking Midfield,20,2,Italy,AC Milan,Italy,Spezia Calcio,loan transfer
Right Winger,22,2,Spain,Atlético de Madrid,Spain,Girona FC,loan transfer
Centre-Back,23,2,Brazil,Clube de Regatas do Flamengo,Japan,Vissel Kobe,loan transfer
Defensive Midfield,27,2,United Arab Emirates,Al-Ittihad Kalba SC,United States,Orlando City SC,loan transfer
Central Midfield,18,2,England,Arsenal FC U21,England,Blackpool FC,loan transfer
Left Winger,21,2,Italy,Atalanta BC,Italy,FC Empoli,loan transfer
Centre-Back,27,2,England,Chelsea FC,United States,FC Cincinnati,free transfer
Attacking Midfield,29,2,Brazil,Sport Club Corinthians Paulista,Brazil,Santos FC,loan transfer
Centre-Back,29,2,United Arab Emirates,Al-Ain FC,Tunisia,Esperance Tunis,free transfer
Centre-Forward,33,2,Saudi Arabia,Al-Ahli Saudi FC,Qatar,Al-Arabi SC,loan transfer
Defensive Midfield,21,2,Mexico,CF América,Poland,Miedz Legnica,loan transfer
Left Winger,27,2,Russia,Spartak Moscow,Brazil,Fortaleza Esporte Clube,free transfer
Centre-Back,25,2,Netherlands,Feyenoord Rotterdam,Netherlands,NEC Nijmegen,free transfer
Left-Back,27,2,Belgium,Club Brugge KV,Belgium,Oud-Heverlee Leuven,free transfer
Left Winger,26,2,England,Brentford FC,England,Stoke City,loan transfer
Centre-Back,22,2,Italy,AC Monza,Italy,Palermo FC,loan transfer
Left Winger,23,2,Greece,Olympiacos Piraeus,Greece,Ionikos Nikeas,loan transfer
Centre-Back,28,2,Spain,FC Barcelona,Italy,US Lecce,loan transfer
Left Winger,22,2,France,FC Metz,France,ESTAC Troyes,loan transfer
Centre-Back,30,2,Turkey,Fenerbahce SK,Turkey,Fatih Karagümrük,free transfer
Defensive Midfield,24,2,Croatia,HNK Gorica,Croatia,HNK Hajduk Split,?
Defensive Midfield,25,2,Brazil,Botafogo de Futebol e Regatas,Belgium,RWD Molenbeek,loan transfer
Right Winger,22,2,England,Leeds United,England,Blackpool FC,loan transfer
Left-Back,27,2,France,Olympique Lyon,France,AC Ajaccio,loan transfer
Right-Back,20,2,Scotland,Rangers FC,Poland,Lech Poznan,loan transfer
Central Midfield,23,2,Italy,Genoa CFC,Belgium,Standard Liège,loan transfer
Centre-Back,27,2,Croatia,HNK Rijeka,Saudi Arabia,Ettifaq FC,free transfer
Goalkeeper,24,2,Spain,Rayo Vallecano,Spain,SD Eibar,free transfer
Attacking Midfield,22,2,Germany,VfB Stuttgart,Germany,Arminia Bielefeld,loan transfer
Defensive Midfield,29,2,France,FC Metz,France,Angers SCO,free transfer
Central Midfield,29,2,Italy,SS Lazio,Italy,FC Empoli,loan transfer
Goalkeeper,30,2,England,Fulham FC,Spain,Girona FC,loan transfer
Left-Back,23,2,Italy,US Lecce,Italy,Frosinone Calcio,loan transfer
Centre-Back,20,2,Italy,Hellas Verona,Italy,UC Sampdoria,loan transfer
Centre-Back,25,2,Italy,UC Sampdoria,Italy,Benevento Calcio,loan transfer
Right Winger,21,2,Spain,Real Betis Balompié,Spain,Deportivo Alavés,loan transfer
Centre-Forward,23,2,England,Huddersfield Town,England,Portsmouth FC,loan transfer
Right Winger,23,2,England,Nottingham Forest,Greece,Olympiacos Piraeus,loan transfer
Central Midfield,18,2,Belgium,Royal Antwerp FC,Portugal,SC Braga B,loan transfer
Central Midfield,32,2,China,Shenzhen FC,Belgium,KAS Eupen,loan transfer
Centre-Back,35,2,Portugal,SL Benfica,Belgium,RSC Anderlecht,free transfer
Left-Back,23,1,Argentina,CA Rosario Central,Spain,Elche CF,1
Centre-Forward,19,1,Ecuador,LDU Quito,Belgium,RSC Anderlecht,1
Central Midfield,21,1,Italy,Virtus Entella,Italy,Benevento Calcio,0.75
Centre-Back,33,1,Turkey,Besiktas JK,Greece,AEK Athens,free transfer
Centre-Back,22,-,England,Oxford United,England,Burnley FC,1
Centre-Forward,23,0.5,Colombia,Once Caldas,United States,Minnesota United FC,1
Central Midfield,23,1,Spain,FC Cartagena,United States,Houston Dynamo FC,1
Right-Back,25,0.8,Spain,CD Tenerife,United States,Nashville SC,1
Attacking Midfield,17,1,Croatia,Slaven Belupo Koprivnica,Germany,FC Bayern Munich II,1
Centre-Forward,24,1,Egypt,El Ahly Cairo,France,Amiens SC,1
Left Winger,23,0.8,Uruguay,Montevideo Wanderers,Greece,PAOK Thessaloniki,1
Centre-Forward,22,1,Russia,Spartak Moscow,Russia,Krylya Sovetov Samara,1
Central Midfield,22,1,Brazil,Clube Atlético Mineiro,Brazil,Ceará Sporting Club,1
Centre-Back,30,0.7,Israel,Maccabi Haifa,United Arab Emirates,FC Shabab Al-Ahli Dubai,1
Left-Back,24,0.8,Spain,Real Zaragoza,Spain,Rayo Vallecano,1
Central Midfield,24,1,Brazil,Sport Club Internacional,Bulgaria,Ludogorets Razgrad,1
Centre-Forward,27,1,France,EA Guingamp,Israel,Maccabi Haifa,1
Attacking Midfield,29,1,Italy,Bologna FC 1909,Italy,Ternana Calcio,1
Centre-Forward,24,1,Russia,Krylya Sovetov Samara,Russia,FC Sochi,1
Left-Back,22,1,United States,San Jose Earthquakes,Netherlands,Feyenoord Rotterdam,1
Right Midfield,30,1,Brazil,Fortaleza Esporte Clube,Japan,Shimizu S-Pulse,0.8
Centre-Forward,24,1,Belgium,Royal Antwerp FC,Germany,FC St. Pauli,0.6
Centre-Back,21,1,Croatia,NK Lokomotiva Zagreb,Germany,1. FC Köln,0.5
Centre-Back,24,1,Brazil,Grêmio Foot-Ball Porto Alegrense,United States,San Jose Earthquakes,0.455
Right-Back,25,1,Spain,RCD Mallorca,Greece,PAOK Thessaloniki,0.4
Attacking Midfield,28,1,Poland,Górnik Zabrze,Poland,Rakow Czestochowa,0.4
Defensive Midfield,22,1,Poland,Zaglebie Lubin,France,RC Lens,0.35
Central Midfield,22,1,Greece,PAOK Thessaloniki,France,FC Toulouse,0.3
Left-Back,28,1,Germany,TSG 1899 Hoffenheim,Germany,VfL Bochum,0.25
Central Midfield,24,1,Germany,Eintracht Frankfurt,Germany,1.FSV Mainz 05,free transfer
